@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
109,13,8,24,1,3,?
74,8,4,22,1,1,?
105,13,7,25,1,3,?
78,8,4,22,1,1,?
119,10,8,28,1,3,?
16,4,1,6,4,0,?
7,0,1,1,0,0,?
8,0,1,1,0,0,?
19,1,1,4,0,0,?
22,1,2,6,0,0,?
24,4,1,5,1,0,?
29,1,2,11,0,0,?
10,1,1,2,0,0,?
44,4,2,21,1,0,?
36,4,2,9,0,0,?
35,5,1,12,1,3,?
24,2,1,2,0,1,?
16,2,1,4,1,1,?
30,9,1,15,2,0,?
37,3,1,13,0,4,?
21,2,1,12,0,2,?
29,3,1,8,0,2,?
24,1,1,2,0,1,?
59,8,2,16,1,7,?
63,10,1,11,3,4,?
29,4,2,5,0,0,?
7,0,0,0,0,0,?
33,5,1,6,1,1,?
32,4,1,9,1,1,?
51,6,1,10,1,6,?
33,3,4,3,0,1,?
96,13,2,30,0,0,?
43,7,4,5,0,2,?
39,7,2,9,0,0,?
63,14,4,14,0,2,?
57,11,4,11,0,2,?
104,12,4,21,1,8,?
56,12,2,17,3,1,?
